"recno","f2_row","f2_1","f2_2","f2_3","f2_4","f2_5","f2_6","f2_7","f2_8","f2_9","f2_10","f2_11","f2_12","f2_13","f2_14"
1665,19,100,,,,,,,,,,,,,
1676,11,10,,,,,,,,,,,,,
1676,12,10,,,,,,,,,,,,,
1676,13,1,,,,,,,,,,,,,
1676,14,1,,,,,,,,,,,,,
1677,11,20,,,,,,,,,,,,,
1677,12,20,,,,,,,,,,,,,
1678,11,30,,,,,,,,,,,,,
1678,12,30,,,,,,,,,,,,,
1680,11,17,,,,,,,,,,,,,
1680,12,17,,,,,,,,,,,,,
1681,11,13,,,,,,,,,,,,,
1681,12,13,,,,,,,,,,,,,
1682,11,10,,,,,,,,,,,,,
1682,12,10,,,,,,,,,,,,,
1683,11,10,,,,,,,,,,,,,
1683,12,10,,,,,,,,,,,,,
1684,1,1,,,,,,,,,,,,,
1684,2,1,,,,,,,,,,,,,
1684,11,7,,,,,5,,,5,7500,,,,
1684,12,7,,,,,,,,,,,,,
1685,11,16,,,,,5,,,8,12000,,,,
1685,12,16,,,,,5,,,8,12000,,,,
1686,11,5,,,,,,,,,,,,,
1686,12,5,,,,,,,,,,,,,
1686,19,1,,,,,,,,,,,,,
1687,1,1,,,,,,,,,,,,,
1687,2,1,,,,,,,,,,,,,
1687,10,1,,,,,,,,,,,,,
1687,11,6,,,,,3,,,4,8000,,,,
1687,12,6,,,,,,,,,,,,,
1688,1,3,,,,,1,,,100,200000,,,,
1688,2,1,,,,,,,,,,,,,
1688,3,1,,,,,,,,,,,,,
1688,4,1,,,,,,,,,,,,,
1688,11,12,,,,,5,,,5,10000,,,,
1688,12,12,,,,,,,,,,,,,
1688,19,1,,,,,,,,,,,,,
1689,1,5,,,,,1,,,100,200000,,,,
1689,2,2,,,,,,,,,,,,,
1689,3,1,,,,,,,,,,,,,
1689,4,2,,,,,,,,,,,,,
1689,11,10,,,,,2,,,3,4500,,,,
1689,12,10,,,,,,,,,,,,,
1689,19,2,,,,,,,,,,,,,
1691,11,7,,,,,1,,,1.5,2250,,,,
1691,12,7,,,,,,,,,,,,,
1692,11,4,,,,,,,,,,,,,
1692,12,4,,,,,,,,,,,,,
1693,1,11,,,,,2,150,255000,110,187000,2,,,
1693,2,5,,,,,1,,,110,187000,,,,
1693,3,2,,,,,1,150,255000,,,2,,,
1693,4,4,,,,,,,,,,,,,
1693,11,8,,,,,4,,,6,10200,,,,
1693,12,8,,,,,4,,,6,10200,,,,
1693,19,7,,,,,,,,,,,,,
1694,1,5,,,,,2,260,442000,40,68000,4,,,
1694,2,2,,,,,,,,,,,,,
1694,3,,,,,,2,260,442000,40,68000,4,,,
1694,4,3,,,,,,,,,,,,,
1694,6,3,3,90000,,,5,160,480000,18,54000,4,,,
1694,7,,,,,,5,160,480000,18,54000,4,,,
1694,8,3,3,90000,,,,,,,,,,,
1694,9,8,,,2,80000,1,,,13,32500,2,,,
1694,11,25,,,,,7,,,10,17000,,,,
1694,12,25,,,,,7,,,10,17000,,,,
1694,19,4,,,,,,,,,,,,,
1695,9,3,,,1,40000,1,,,15,37500,2,,,
1695,11,8,,,,,3,,,4,6800,,,,
1696,1,8,,,,,1,150,255000,20,34000,2,,,
1696,2,4,,,,,,,,,,,,,
1696,3,2,,,,,1,150,255000,20,34000,2,,,
1696,4,2,,,,,,,,,,,,,
1696,6,3,,,,,,,,,,,,,
1696,8,3,,,,,,,,,,,,,
1696,11,10,,,,,3,,,5,8500,,,,
1696,12,10,,,,,3,,,5,8500,,,,
1696,13,7,,,,,3,,,4,12000,,,,
1696,14,7,,,,,3,,,4,12000,,,,
1696,19,5,,,,,,,,,,,,,
1697,11,18,,,,,5,,,8,13600,,,,
1697,12,18,,,,,5,,,8,13600,,,,
1697,19,14,,,,,,,,,,,,,
1698,1,10,,,,,2,260,446000,40,64000,4,,,
1698,2,4,,,,,1,110,176000,40,64000,4,,,
1698,3,2,,,,,1,150,270000,,,4,,,
1698,4,4,,,,,,,,,,,,,
1698,10,1,,,,,,,,,,,,,
1698,11,8,,,,,4,,,8,13600,,,,
1698,12,8,,,,,4,,,8,13600,,,,
1698,19,5,,,,,,,,,,,,,
1699,1,3,,,,,,,,,,,,,
1699,2,1,,,,,,,,,,,,,
1699,4,2,,,,,,,,,,,,,
1699,9,4,,,,,2,,,40,120000,,,,
1699,11,7,,,1,5000,4,,,6,10200,2,,,
1699,12,7,,,1,5000,4,,,6,10200,2,,,
1699,13,2,,,,,3,,,3.5,8750,,,,
1699,14,2,,,,,3,,,3.5,8750,,,,
1700,1,7,,,,,3,340,574000,110,176000,2,,,
1700,2,2,,,,,1,40,64000,110,176000,2,,,10
1700,3,1,,,,,2,300,510000,,,2,,,
1700,4,4,,,,,,,,,,,,,
1700,6,2,,,,,1,60,180000,10,30000,2,,,
